Prompt No,Model,Input Tokens,Output Tokens,Cost (USD),Cost (INR)
1,GPT-4o,4,10,0.00017,0.01479
1,Claude Sonnet,4,10,0.000162,0.014094
1,Gemini Flash,4,10,4.4e-06,0.000383
1,GPT-4o Mini,4,10,6.6e-06,0.000574
2,GPT-4o,5,10,0.000175,0.015225
2,Claude Sonnet,5,10,0.000165,0.014355
2,Gemini Flash,5,10,4.5e-06,0.000392
2,GPT-4o Mini,5,10,6.75e-06,0.000587
3,GPT-4o,22,11,0.000275,0.023925
3,Claude Sonnet,22,11,0.000231,0.020097
3,Gemini Flash,22,11,6.6e-06,0.000574
3,GPT-4o Mini,22,11,9.9e-06,0.000861
4,GPT-4o,7,10,0.000185,0.016095
4,Claude Sonnet,7,10,0.000171,0.014877
4,Gemini Flash,7,10,4.7e-06,0.000409
4,GPT-4o Mini,7,10,7.05e-06,0.000613
5,GPT-4o,20,10,0.00025,0.02175
5,Claude Sonnet,20,10,0.00021,0.01827
5,Gemini Flash,20,10,6e-06,0.000522
5,GPT-4o Mini,20,10,9e-06,0.000783
6,GPT-4o,39,19,0.00048,0.04176
6,Claude Sonnet,39,19,0.000402,0.034974
6,Gemini Flash,39,19,1.15e-05,0.001001
6,GPT-4o Mini,39,19,1.725e-05,0.001501
